CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC
cg20067575,0.9732,0.9704,0.971,0.9714,0.9738,0.9678
cg16408279,0.9555,0.9612,0.9617,0.9571,0.9599,0.953
cg24371534,0.9427,0.9017,0.9198,0.9523,0.9182,0.936
cg03960390,0.9641,0.959,0.9528,0.9522,0.9622,0.9532
cg11436025,0.9832,0.9812,0.9805,0.9814,0.9787,0.9787
cg01074104,0.9473,0.9636,0.9548,0.953,0.9545,0.9382
cg11865578,0.9643,0.954,0.9482,0.9544,0.9618,0.9461
cg18907098,0.9361,0.9342,0.9307,0.9266,0.9328,0.9314
cg24892120,0.8057,0.7933,0.7874,0.7909,0.797,0.7764
cg08796240,0.9568,0.9775,0.9742,0.9107,0.9754,0.7086
cg06096175,0.9888,0.9875,0.9875,0.9874,0.9885,0.987
cg20278383,0.9644,0.9609,0.9614,0.9562,0.9622,0.9614
cg08577953,0.9715,0.9715,0.9708,0.9656,0.9717,0.9607
cg14095720,0.9814,0.9777,0.978,0.9771,0.9789,0.9768
cg17565051,0.9666,0.9632,0.9614,0.9644,0.9631,0.9606
cg00243187,0.9858,0.9847,0.9847,0.983,0.9854,0.9841
cg09632029,0.9672,0.9715,0.9704,0.9656,0.9698,0.9646
cg09941017,0.9607,0.9661,0.9621,0.9688,0.9654,0.9624
cg12856760,0.975,0.976,0.9751,0.9738,0.9748,0.9754
cg22452170,0.9783,0.978,0.9738,0.9758,0.9762,0.9733
cg08623515,0.9699,0.6846,0.9637,0.9616,0.9703,0.9691
cg21708145,0.8846,0.447,0.8581,0.8266,0.8459,0.8815
cg02225988,0.9771,0.971,0.9717,0.971,0.9723,0.9758
cg22504031,0.8761,0.8733,0.8624,0.8552,0.8844,0.8621
cg16644803,0.9484,0.9508,0.9543,0.9529,0.9545,0.9447
cg10709708,0.9614,0.9581,0.9599,0.963,0.9674,0.9513
cg10426234,0.9756,0.9785,0.9537,0.9615,0.9539,0.9733
cg03816062,0.9752,0.9774,0.9723,0.9677,0.9743,0.9688
cg18003518,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432
cg27092995,0.965,0.9668,0.9673,0.9656,0.9671,0.9676
cg02154436,0.9497,0.9528,0.9437,0.9427,0.9531,0.933
cg16145211,0.9659,0.9635,0.9682,0.963,0.9638,0.9651
cg12249345,0.975,0.9612,0.9662,0.9742,0.9708,0.9706
cg21978694,0.9788,0.9667,0.9726,0.978,0.9746,0.9791
cg27630540,0.9748,0.9745,0.9723,0.9722,0.974,0.9675
cg13294602,0.9714,0.9671,0.966,0.9653,0.9702,0.965
cg12249345,0.975,0.9612,0.9662,0.9742,0.9708,0.9706
cg21978694,0.9788,0.9667,0.9726,0.978,0.9746,0.9791
cg16644803,0.9484,0.9508,0.9543,0.9529,0.9545,0.9447
cg10709708,0.9614,0.9581,0.9599,0.963,0.9674,0.9513
cg09927251,0.9592,0.9374,0.9579,0.9536,0.9547,0.9468
cg01743020,0.9735,0.962,0.9729,0.9718,0.977,0.9767
cg17162031,0.8819,0.7257,0.876,0.8536,0.8886,0.8829
cg08533865,0.9868,0.9844,0.9846,0.9865,0.9864,0.9856
cg23836168,0.8534,0.8523,0.8479,0.8559,0.8568,0.8424
cg05358397,0.9741,0.9721,0.9718,0.9652,0.9638,0.9756
cg14642467,0.9754,0.9735,0.9775,0.977,0.9789,0.9685
cg00403616,0.9734,0.9706,0.9702,0.9711,0.9751,0.9687
cg13929734,0.9766,0.9786,0.9773,0.9778,0.9789,0.9754
cg04462650,0.9742,0.9766,0.9734,0.9703,0.9753,0.9718
cg22278901,0.9693,0.9502,0.9622,0.9329,0.9623,0.9615
cg25207147,0.9656,0.9622,0.9623,0.9566,0.9652,0.9627
cg06382167,0.9157,0.9171,0.9139,0.9019,0.9129,0.9108
cg21488093,0.9123,0.9165,0.9052,0.9042,0.915,0.9171
cg15750941,0.9824,0.9777,0.9735,0.9791,0.9751,0.9818
cg09176893,0.9682,0.9542,0.9502,0.9538,0.9399,0.9621
cg11143131,0.973,0.9707,0.9723,0.9742,0.9752,0.9747
cg16908901,0.9752,0.9748,0.9742,0.9708,0.9719,0.975
cg13823144,0.9742,0.9718,0.9662,0.9631,0.9621,0.9693
cg15775406,0.9602,0.9618,0.9638,0.9619,0.9592,0.9484
cg27092995,0.965,0.9668,0.9673,0.9656,0.9671,0.9676
cg02154436,0.9497,0.9528,0.9437,0.9427,0.9531,0.933
cg16900589,0.9602,0.9595,0.9558,0.9562,0.9581,0.9537
cg16796151,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632
cg06684201,0.97,0.9638,0.9663,0.9696,0.9715,0.9723
cg25859670,0.9528,0.9574,0.9557,0.9576,0.9573,0.9501
cg20806040,0.9257,0.926,0.9208,0.919,0.9377,0.9216
cg14398860,0.9802,0.9784,0.98,0.979,0.9787,0.9786
cg03899721,0.983,0.9846,0.9553,0.9826,0.9752,0.9816
cg05264881,0.9718,0.9263,0.9478,0.9662,0.9428,0.9671
cg14574910,0.9685,0.973,0.9704,0.9694,0.9726,0.9652
cg06593910,0.9646,0.8207,0.9697,0.9708,0.9708,0.9686
cg10152624,0.9711,0.9676,0.9716,0.9673,0.9701,0.9673
cg05349039,0.8537,0.847,0.822,0.8358,0.8309,0.8443
cg07529658,0.9656,0.9637,0.964,0.9622,0.9668,0.9631
cg16245035,0.9821,0.9821,0.9754,0.9823,0.9813,0.9792
cg03625662,0.9503,0.9459,0.9394,0.9428,0.9457,0.9371
cg10589396,0.8996,0.8977,0.8832,0.8996,0.8988,0.875
cg02650121,0.9335,0.9319,0.9255,0.9211,0.9263,0.9336
cg27104778,0.9755,0.9743,0.9707,0.9717,0.9745,0.9716
cg20722637,0.9708,0.9692,0.9621,0.9702,0.9647,0.9607
cg09115646,0.9646,0.9085,0.9512,0.9622,0.9521,0.9393
cg16796151,0.9689,0.9596,0.9557,0.9634,0.9634,0.9632
cg06684201,0.97,0.9638,0.9663,0.9696,0.9715,0.9723
cg24859375,0.9412,0.9514,0.944,0.9441,0.9465,0.945
cg16990083,0.9664,0.8321,0.9627,0.9671,0.9534,0.9632
cg26953293,0.956,0.9494,0.9489,0.9475,0.9549,0.9467
cg24873695,0.9698,0.9632,0.9685,0.963,0.9719,0.97
cg06834177,0.9626,0.963,0.9604,0.9648,0.9629,0.9633
cg03961030,0.8493,0.8464,0.8451,0.8503,0.8556,0.8364
cg15100947,0.8824,0.8854,0.8738,0.8723,0.8812,0.8609
cg16990945,0.956,0.789,0.956,0.7852,0.9592,0.9585
cg01233786,0.9754,0.9646,0.9731,0.9765,0.9751,0.9751
cg11840467,0.907,0.8781,0.8889,0.8892,0.8954,0.8945
cg10249637,0.9717,0.9584,0.9434,0.9541,0.9423,0.9692
cg14840782,0.9703,0.9599,0.9648,0.9641,0.9564,0.9664
cg24404878,0.9667,0.8392,0.9305,0.9526,0.9604,0.9663
cg22605290,0.9314,0.9358,0.9184,0.9247,0.9242,0.923
cg16621196,0.9275,0.9267,0.9228,0.9188,0.9285,0.9216
cg24137774,0.9602,0.9565,0.961,0.9261,0.9578,0.9443
cg25909885,0.8828,0.8732,0.8728,0.8581,0.881,0.8508
cg27196131,0.9615,0.9689,0.9688,0.9612,0.9682,0.9561
cg16053005,0.9743,0.9723,0.972,0.9675,0.9704,0.9628
cg06513819,0.9139,0.93,0.917,0.914,0.9263,0.9084
cg12349571,0.931,0.5138,0.9124,0.9199,0.933,0.9082
cg01666796,0.9524,0.4456,0.9485,0.951,0.96,0.9356
cg21617494,0.9724,0.9701,0.9726,0.9616,0.9646,0.9669
cg06509223,0.9384,0.9493,0.9484,0.9372,0.9419,0.9381
cg24990808,0.9764,0.9755,0.9724,0.9744,0.9716,0.9758
cg02381965,0.9741,0.9737,0.9704,0.9721,0.975,0.9707
cg24929896,0.8985,0.8968,0.8979,0.8963,0.9051,0.8955
cg06415550,0.9593,0.9513,0.9468,0.949,0.9614,0.9389
cg16124920,0.9766,0.9749,0.975,0.9694,0.9732,0.9758
cg18003518,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432
cg01286950,0.9664,0.9624,0.9622,0.965,0.9622,0.9637
cg21927314,0.9412,0.947,0.9396,0.9442,0.9441,0.9356
cg25718735,0.9586,0.9674,0.9659,0.9647,0.9657,0.9593
cg08763309,0.8695,0.861,0.8562,0.8464,0.8675,0.8629
cg03816062,0.9752,0.9774,0.9723,0.9677,0.9743,0.9688
cg18003518,0.9527,0.9509,0.9576,0.9404,0.9556,0.9432
cg01286950,0.9664,0.9624,0.9622,0.965,0.9622,0.9637
cg02517488,0.9685,0.9628,0.9652,0.9672,0.9668,0.9727
cg15305070,0.9442,0.9627,0.9555,0.9496,0.9587,0.9357
cg06662140,0.9654,0.912,0.9748,0.937,0.9424,0.9531
cg10584587,0.9819,0.9813,0.98,0.9778,0.9789,0.9759
cg21843262,0.9748,0.571,0.976,0.9763,0.9764,0.9787
cg13858127,0.9705,0.9723,0.973,0.9721,0.9733,0.9711
cg14061772,0.933,0.9427,0.9305,0.9304,0.9315,0.9268
cg26463699,0.9666,0.9625,0.9613,0.9566,0.9681,0.9641
cg13945749,0.9397,0.9641,0.9472,0.9382,0.9554,0.9348
cg10369955,0.971,0.9746,0.971,0.9726,0.9716,0.972
cg12221318,0.9656,0.9592,0.9507,0.9618,0.9548,0.9582
cg04574095,0.9639,0.9522,0.9629,0.9597,0.9614,0.955
cg20168823,0.9824,0.9856,0.9836,0.9802,0.9844,0.9776
cg10407177,0.858,0.85,0.8358,0.838,0.8366,0.8522
cg26967566,0.9852,0.9811,0.9799,0.982,0.9819,0.983
cg05598886,0.9697,0.9767,0.9721,0.9708,0.9718,0.965
cg10268345,0.9784,0.9779,0.9793,0.9791,0.978,0.9785
cg07036112,0.887,0.8766,0.8782,0.8817,0.8836,0.8738
cg25545503,0.9361,0.9334,0.9327,0.9282,0.9434,0.9254
cg02666489,0.841,0.8336,0.8114,0.8234,0.8271,0.8204
cg08775375,0.9282,0.9407,0.9193,0.9194,0.9179,0.9304
cg07797693,0.963,0.9647,0.9542,0.9482,0.9575,0.9553
cg24998791,0.7965,0.7462,0.7373,0.7734,0.7142,0.8053
cg03816625,0.9816,0.9732,0.8555,0.9802,0.9489,0.9809
cg00912247,0.9668,0.9686,0.9672,0.957,0.9657,0.9676
cg24140574,0.9739,0.973,0.9736,0.9731,0.9748,0.9706
cg10494257,0.9239,0.924,0.9174,0.9182,0.9164,0.9214
cg17125804,0.9808,0.982,0.9759,0.9766,0.9792,0.9781
cg07263694,0.8273,0.8304,0.8177,0.8077,0.837,0.8085
cg00535785,0.9747,0.9719,0.974,0.9731,0.9735,0.9737
cg13576505,0.9663,0.9639,0.9658,0.9612,0.9677,0.9552
cg21478921,0.9707,0.969,0.9717,0.9677,0.9728,0.9721
cg03301433,0.9248,0.9258,0.9222,0.921,0.9203,0.9186
cg07858195,0.9718,0.9724,0.9737,0.9728,0.9722,0.9687
cg02723533,0.9828,0.9836,0.9844,0.9748,0.9835,0.9812
cg06698598,0.9789,0.9793,0.9769,0.9778,0.9788,0.9786
cg04099705,0.9788,0.976,0.9755,0.9779,0.9761,0.9782
cg19494587,0.8724,0.8774,0.8494,0.8652,0.8642,0.8526
cg12462916,0.9754,0.9744,0.9722,0.9738,0.9745,0.9717
cg18679487,0.9723,0.97,0.9662,0.9666,0.9705,0.9647
cg03899721,0.983,0.9846,0.9553,0.9826,0.9752,0.9816
cg09473364,0.9717,0.9782,0.973,0.9733,0.9742,0.9726
cg10243459,0.9711,0.9672,0.9667,0.9682,0.9663,0.9683
cg00347938,0.9761,0.9802,0.9802,0.9749,0.9839,0.9764
cg02571204,0.9442,0.9528,0.9458,0.9503,0.9524,0.9446
cg09581935,0.912,0.9103,0.9068,0.9114,0.911,0.9069
cg27000496,0.982,0.9803,0.9795,0.9788,0.9834,0.9775
cg13659360,0.9685,0.9646,0.9665,0.9693,0.9706,0.9624
cg10067182,0.958,0.9601,0.96,0.9613,0.9609,0.9594
cg19755813,0.9759,0.9766,0.9779,0.9734,0.9786,0.7028
cg13599131,0.9041,0.9501,0.9489,0.9246,0.9577,0.9324
cg27353308,0.918,0.9728,0.9709,0.9585,0.9803,0.9701
cg20651080,0.9694,0.9664,0.9602,0.9691,0.9679,0.95
cg03571301,0.7384,0.7532,0.7526,0.788,0.7657,0.6544
cg19223190,0.9714,0.97,0.9662,0.9695,0.9725,0.9666
cg13939156,0.8338,0.8335,0.8359,0.8358,0.8472,0.8337
cg03046466,0.972,0.9674,0.9652,0.9634,0.9677,0.9704
cg04410987,0.907,0.8977,0.9228,0.925,0.917,0.9236
cg14498227,0.9408,0.8731,0.9441,0.9358,0.9435,0.9435
cg22795345,0.975,0.9744,0.972,0.9744,0.9746,0.9719
cg14270002,0.9718,0.967,0.966,0.9678,0.9668,0.9647
cg16628135,0.9799,0.9805,0.9777,0.9797,0.9793,0.9759
cg12201155,0.9705,0.9718,0.9705,0.9696,0.972,0.9723
cg22795345,0.975,0.9744,0.972,0.9744,0.9746,0.9719
cg14270002,0.9718,0.967,0.966,0.9678,0.9668,0.9647
cg01602345,0.9545,0.9489,0.9466,0.9541,0.9476,0.9522
cg21167817,0.9836,0.9803,0.9792,0.9827,0.9813,0.985
cg00912247,0.9668,0.9686,0.9672,0.957,0.9657,0.9676
cg26539736,0.9768,0.9751,0.9726,0.9709,0.9711,0.9761
cg02501155,0.9699,0.9697,0.9676,0.9668,0.9672,0.9593
cg17244801,0.9615,0.9568,0.9563,0.9596,0.9618,0.9613
cg22979083,0.9603,0.9655,0.9533,0.951,0.9608,0.9411
cg03616722,0.9308,0.9404,0.9497,0.8957,0.9359,0.9281
cg03890628,0.9697,0.9704,0.9679,0.9678,0.9681,0.9686
cg18725348,0.9492,0.9496,0.9401,0.9327,0.9487,0.942
cg01071314,0.9704,0.9723,0.9632,0.9674,0.9705,0.9613
cg01176141,0.9785,0.9767,0.9742,0.9749,0.9755,0.9738
cg13089599,0.9688,0.9698,0.9656,0.9679,0.969,0.9654
cg20285974,0.9773,0.9776,0.9752,0.9767,0.9749,0.9769
cg05485379,0.9772,0.9364,0.9646,0.9782,0.9569,0.9809
cg25611057,0.9323,0.8637,0.8308,0.9298,0.7802,0.9253
cg20282303,0.9701,0.9737,0.9662,0.9676,0.9682,0.9712
cg13241681,0.9754,0.9732,0.9692,0.9718,0.9746,0.9752
cg22612590,0.9103,0.9044,0.902,0.8984,0.9019,0.902
cg02923888,0.9842,0.9828,0.9835,0.9819,0.984,0.9798
cg04934595,0.9801,0.977,0.9744,0.978,0.9801,0.977
cg20691436,0.9676,0.9684,0.9649,0.9673,0.968,0.9661
cg03558269,0.9787,0.9746,0.974,0.9746,0.9765,0.9791
cg15320905,0.9772,0.9767,0.9745,0.9741,0.9794,0.9715
cg21613549,0.9629,0.9614,0.9538,0.958,0.9645,0.959
cg12512173,0.885,0.8739,0.8718,0.8679,0.8808,0.8761
cg22032283,0.9239,0.9222,0.9182,0.9158,0.9252,0.9246
cg02863087,0.969,0.9666,0.9664,0.9658,0.9683,0.9648
cg17006413,0.9642,0.9548,0.9518,0.9609,0.9564,0.9547
cg21472517,0.9699,0.9699,0.965,0.9622,0.9707,0.9608
cg18019572,0.8304,0.788,0.8095,0.8372,0.8124,0.8283
cg22673826,0.9069,0.874,0.8924,0.9072,0.895,0.9084
cg05855116,0.9357,0.9567,0.9558,0.9553,0.9601,0.9318
cg26918117,0.4981,0.8986,0.8892,0.8883,0.9118,0.5366
cg04897892,0.973,0.9717,0.9707,0.9695,0.9741,0.9642
cg08552167,0.9718,0.9549,0.9634,0.9602,0.9554,0.9718
cg00922420,0.9762,0.9715,0.9739,0.9748,0.9758,0.97
cg07259651,0.9647,0.962,0.9636,0.9646,0.966,0.9611
cg26058289,0.9688,0.9635,0.9569,0.9612,0.9661,0.9574
cg24060527,0.9584,0.9589,0.9666,0.9593,0.9671,0.9442
cg00869989,0.9744,0.947,0.9712,0.9711,0.9728,0.9725
cg09559196,0.9645,0.9596,0.9526,0.9526,0.9545,0.9505
cg05798147,0.9316,0.9132,0.9184,0.9068,0.9256,0.9152
cg14377739,0.9863,0.9864,0.9878,0.9849,0.988,0.9844
cg13858127,0.9705,0.9723,0.973,0.9721,0.9733,0.9711
cg04725041,0.9249,0.9348,0.9322,0.9325,0.9355,0.9123
cg05697539,0.9763,0.9746,0.9728,0.9728,0.976,0.9743
cg02474926,0.8923,0.8877,0.8827,0.8793,0.8962,0.8793
cg22079102,0.9511,0.9468,0.949,0.9516,0.9513,0.9482
cg07838427,0.9744,0.9736,0.9713,0.9714,0.9757,0.9689
cg20268930,0.9602,0.9554,0.9564,0.9555,0.9564,0.9426
cg14139875,0.9637,0.9638,0.9475,0.9596,0.9466,0.9579
cg22306015,0.939,0.9145,0.8847,0.917,0.8882,0.9256
cg08057475,0.9219,0.9169,0.8975,0.9156,0.9172,0.9171
cg17016175,0.9177,0.9232,0.9215,0.9107,0.9159,0.9218
cg07335189,0.969,0.9646,0.9606,0.9606,0.9631,0.9566
cg23478225,0.9232,0.9275,0.9176,0.9246,0.9208,0.9236
cg04410987,0.907,0.8977,0.9228,0.925,0.917,0.9236
cg14498227,0.9408,0.8731,0.9441,0.9358,0.9435,0.9435
cg16707227,0.965,0.9631,0.972,0.9702,0.9714,0.9578
cg15480114,0.9748,0.9772,0.9754,0.9751,0.9761,0.9734
cg22849149,0.926,0.9254,0.9209,0.9272,0.9312,0.9047
cg15922228,0.8622,0.8767,0.8561,0.8744,0.8746,0.8356
cg04076264,0.9148,0.9143,0.9065,0.9119,0.9225,0.9001
cg20067575,0.9732,0.9704,0.971,0.9714,0.9738,0.9678
cg04286195,0.9664,0.9696,0.9686,0.9694,0.9692,0.9664
cg06969933,0.8866,0.8746,0.8502,0.8844,0.8588,0.8608
cg05762553,0.8844,0.8814,0.8764,0.884,0.8807,0.8751
cg22786486,0.9474,0.9502,0.9489,0.9484,0.9502,0.9522
cg16929427,0.97,0.9745,0.9732,0.9722,0.9724,0.9723
cg00134190,0.83,0.8605,0.8512,0.8486,0.8645,0.8031
cg27089559,0.8717,0.8717,0.8581,0.8636,0.8759,0.8423
cg26431815,0.9552,0.9541,0.9441,0.9479,0.9574,0.9492
cg02612270,0.9426,0.9365,0.9007,0.9247,0.9224,0.9268
cg24586870,0.9788,0.9776,0.9776,0.9776,0.9766,0.975
cg04649852,0.9534,0.9372,0.9364,0.9398,0.9317,0.9414
cg03383886,0.9437,0.9534,0.9521,0.9487,0.9465,0.9419
cg13599131,0.9041,0.9501,0.9489,0.9246,0.9577,0.9324
cg27353308,0.918,0.9728,0.9709,0.9585,0.9803,0.9701
cg02835981,0.3939,0.528,0.494,0.3855,0.5144,0.3755
cg21762589,0.5328,0.5745,0.5503,0.4638,0.5619,0.4793
cg26906629,0.9479,0.9451,0.9427,0.9514,0.9505,0.936
cg00357546,0.9541,0.957,0.9564,0.9549,0.9548,0.9544
cg25408237,0.9742,0.9748,0.9724,0.9702,0.9746,0.9711
cg07897659,0.9714,0.9712,0.9698,0.9674,0.9726,0.9706
cg24640577,0.9211,0.9431,0.9375,0.9336,0.935,0.9363
cg06826710,0.9148,0.9151,0.9046,0.9022,0.9153,0.8978
cg23430295,0.9538,0.9532,0.9518,0.9406,0.9482,0.9442
cg05828992,0.8995,0.8954,0.8777,0.8972,0.8934,0.885
cg02152290,0.985,0.9822,0.982,0.9848,0.9857,0.9838
cg15640993,0.9126,0.9255,0.9093,0.9006,0.9092,0.8904
cg11827743,0.9093,0.9163,0.8982,0.9072,0.9153,0.8964
cg27026390,0.939,0.938,0.9161,0.925,0.936,0.9275
cg14245471,0.9684,0.9686,0.9674,0.9694,0.9678,0.9666
cg19081571,0.952,0.9498,0.948,0.9483,0.9519,0.9468
cg17469240,0.9686,0.9664,0.9635,0.969,0.967,0.9677
cg01176141,0.9785,0.9767,0.9742,0.9749,0.9755,0.9738
cg13089599,0.9688,0.9698,0.9656,0.9679,0.969,0.9654
cg22004774,0.9161,0.9096,0.9007,0.9016,0.9087,0.904
cg14553824,0.9124,0.9042,0.9022,0.8998,0.9117,0.908
cg24008893,0.9092,0.9035,0.9077,0.9022,0.9107,0.9002
cg11276053,0.9784,0.9782,0.9744,0.977,0.9762,0.9791
cg26070281,0.9836,0.9815,0.9774,0.9719,0.978,0.9832
cg10464529,0.9804,0.9802,0.9778,0.9779,0.9805,0.9778
cg00454856,0.9788,0.979,0.9779,0.9798,0.9776,0.9772
cg25899954,0.9699,0.9678,0.964,0.9674,0.9686,0.9675
cg09227533,0.9795,0.98,0.9777,0.9787,0.9787,0.9757
cg00313498,0.9751,0.897,0.9747,0.9748,0.9759,0.9789
cg27567206,0.9624,0.9119,0.9563,0.9628,0.955,0.9624
cg10099518,0.9803,0.9107,0.9771,0.9773,0.979,0.9812
cg17257554,0.973,0.9744,0.9747,0.9788,0.9743,0.9743
cg00313498,0.9751,0.897,0.9747,0.9748,0.9759,0.9789
cg27567206,0.9624,0.9119,0.9563,0.9628,0.955,0.9624
cg10099518,0.9803,0.9107,0.9771,0.9773,0.979,0.9812
cg02359773,0.9695,0.9638,0.9636,0.9621,0.9653,0.9622
cg13513411,0.9512,0.959,0.9492,0.9522,0.9534,0.9472
cg19016273,0.9757,0.9761,0.9794,0.9781,0.9787,0.9763
cg11985341,0.9755,0.9757,0.9743,0.974,0.9741,0.9739
cg27223646,0.9689,0.963,0.9599,0.9568,0.9706,0.9577
cg25637473,0.9788,0.9801,0.9799,0.978,0.9812,0.9801
cg23066057,0.9638,0.9667,0.9683,0.957,0.9666,0.9672
cg06136125,0.739,0.6628,0.6927,0.7331,0.6498,0.7666
cg27459530,0.9696,0.9708,0.9704,0.9717,0.9746,0.9671
cg08734237,0.9578,0.9536,0.9498,0.954,0.9546,0.9451
cg02924834,0.8575,0.8622,0.8586,0.86,0.856,0.7981
cg00313498,0.9751,0.897,0.9747,0.9748,0.9759,0.9789
cg27567206,0.9624,0.9119,0.9563,0.9628,0.955,0.9624
cg10099518,0.9803,0.9107,0.9771,0.9773,0.979,0.9812
cg24630516,0.9783,0.9726,0.9723,0.9748,0.9709,0.9711
cg05343689,0.891,0.8984,0.8908,0.8986,0.8991,0.8925
cg07783183,0.9196,0.9212,0.8989,0.9211,0.9222,0.9189
cg11985341,0.9755,0.9757,0.9743,0.974,0.9741,0.9739
cg27223646,0.9689,0.963,0.9599,0.9568,0.9706,0.9577
cg25931138,0.9639,0.9656,0.9621,0.968,0.9641,0.9608
cg12923728,0.591,0.6161,0.5716,0.6029,0.5459,0.6192
cg01813877,0.9678,0.9628,0.9673,0.9655,0.9676,0.9576
cg01125214,0.977,0.9786,0.9754,0.9733,0.9776,0.9702
cg25637473,0.9788,0.9801,0.9799,0.978,0.9812,0.9801
cg23066057,0.9638,0.9667,0.9683,0.957,0.9666,0.9672
cg06136125,0.739,0.6628,0.6927,0.7331,0.6498,0.7666
cg22782070,0.9812,0.9753,0.9769,0.9784,0.9808,0.979
cg26994283,0.9498,0.9654,0.9617,0.9661,0.9627,0.8249
cg02654411,0.9795,0.9758,0.9741,0.9734,0.977,0.9738
cg24425531,0.9741,0.9726,0.974,0.974,0.9756,0.9727
cg07979388,0.9629,0.9648,0.964,0.9633,0.9667,0.9596
cg26673975,0.9844,0.9829,0.9833,0.9804,0.9822,0.9837
cg02952918,0.9572,0.9561,0.9596,0.9589,0.9573,0.9571
cg14578247,0.9161,0.9158,0.9134,0.9158,0.9211,0.9168
cg01602345,0.9545,0.9489,0.9466,0.9541,0.9476,0.9522
cg21167817,0.9836,0.9803,0.9792,0.9827,0.9813,0.985
cg02453348,0.9528,0.9411,0.9323,0.935,0.9317,0.9427
cg14166625,0.8332,0.8021,0.7404,0.7732,0.7289,0.8354
cg10933428,0.9706,0.9719,0.9645,0.9667,0.9704,0.9681
cg00102512,0.9035,0.9076,0.8977,0.9006,0.9031,0.8995
cg27459530,0.9696,0.9708,0.9704,0.9717,0.9746,0.9671
cg08734237,0.9578,0.9536,0.9498,0.954,0.9546,0.9451
cg24868883,0.9723,0.9709,0.9708,0.9682,0.9745,0.966
cg15893929,0.9728,0.9726,0.9694,0.9696,0.9721,0.9682
cg02746684,0.9766,0.9764,0.9742,0.9753,0.976,0.9733
cg00133223,0.8804,0.867,0.8744,0.8733,0.8784,0.8679
cg26124466,0.8665,0.8524,0.8605,0.8546,0.8648,0.8548
cg17274072,0.9526,0.9488,0.9495,0.9415,0.9474,0.9508
cg20985897,0.9595,0.9641,0.9553,0.9559,0.9564,0.9551
cg13786513,0.9548,0.9487,0.9427,0.9519,0.9554,0.9404
cg23716449,0.9778,0.9789,0.9778,0.9737,0.9774,0.9707
cg15997512,0.9493,0.9515,0.9468,0.9419,0.9482,0.9388
cg00171166,0.9682,0.9613,0.9544,0.9576,0.9576,0.9543
cg08552167,0.9718,0.9549,0.9634,0.9602,0.9554,0.9718
cg14280283,0.9786,0.9795,0.9787,0.9808,0.9818,0.9801
cg02381965,0.9741,0.9737,0.9704,0.9721,0.975,0.9707
cg24929896,0.8985,0.8968,0.8979,0.8963,0.9051,0.8955
cg16755475,0.9386,0.7505,0.9278,0.9358,0.9362,0.934
cg11920453,0.9795,0.9771,0.977,0.9768,0.9795,0.974
cg15147841,0.9507,0.9535,0.9523,0.949,0.9515,0.9552
cg12554051,0.9789,0.9766,0.9763,0.9761,0.9764,0.9751
cg24984147,0.8635,0.7733,0.7663,0.8591,0.8045,0.8766
cg01179055,0.8664,0.8828,0.8788,0.8752,0.8932,0.8458
cg03445173,0.9628,0.9618,0.9589,0.9553,0.9645,0.9537
cg06880930,0.9518,0.8445,0.9431,0.9474,0.9524,0.944
cg07521668,0.9708,0.9562,0.9429,0.9617,0.9398,0.966
cg02235041,0.9559,0.954,0.9541,0.9508,0.9586,0.9526
cg10427811,0.9642,0.9585,0.953,0.9572,0.9578,0.9618
cg02118390,0.9683,0.9694,0.9666,0.9679,0.9672,0.9699
cg02655824,0.9329,0.9223,0.9224,0.9224,0.8546,0.9218
cg25296804,0.8387,0.8408,0.8332,0.8244,0.8486,0.8405
cg10924857,0.9732,0.9721,0.9708,0.9726,0.9717,0.9676
cg18365383,0.9592,0.9584,0.9536,0.958,0.9582,0.9559
cg24526056,0.9537,0.9559,0.9506,0.9527,0.9451,0.9555
cg08209184,0.9575,0.9568,0.9482,0.9548,0.9537,0.9559
cg00734813,0.8242,0.8321,0.7708,0.8018,0.7689,0.8044
cg21970473,0.8712,0.8658,0.8564,0.8511,0.8677,0.852
cg09927251,0.9592,0.9374,0.9579,0.9536,0.9547,0.9468
cg01743020,0.9735,0.962,0.9729,0.9718,0.977,0.9767
cg17162031,0.8819,0.7257,0.876,0.8536,0.8886,0.8829
cg04216051,0.9649,0.7774,0.8442,0.9539,0.7743,0.9183
cg20415945,0.8849,0.8189,0.8907,0.8896,0.9015,0.8514
cg11707310,0.984,0.9836,0.981,0.9815,0.9817,0.9826
cg21929781,0.8741,0.8678,0.8586,0.8722,0.8774,0.8647
cg01362762,0.9675,0.9599,0.9543,0.9497,0.9594,0.9574
cg20149898,0.9402,0.9405,0.9383,0.9252,0.9425,0.9289
cg25154059,0.8602,0.8706,0.8625,0.853,0.873,0.86
cg19358202,0.9536,0.9558,0.9512,0.9577,0.9549,0.9526
cg26071556,0.9517,0.9516,0.9501,0.942,0.9468,0.9523
cg11116288,0.934,0.9359,0.9257,0.9329,0.9262,0.9198
cg13320257,0.8988,0.9026,0.8889,0.9035,0.9011,0.8866
cg18579761,0.9234,0.9266,0.9256,0.917,0.9232,0.9166
cg21784143,0.9487,0.9475,0.9384,0.9417,0.9514,0.9397
cg05058886,0.952,0.9477,0.9426,0.9432,0.9498,0.9345
